Name,Description,Website,twitter
Elevate Ventures,Elevate Ventures is an investment firm.,el8v.io/,https://twitter.com/ElevateWeb3
Sanctum Ventures,Sanctum Ventures is an investment firm.,sanctumventure.com/,
Solana Foundation,"Solana Foundation is to build, support, and grow the Solana network and its community while driving mass adoption for blockchain.",www.solana.foundation/,
Transfero Swiss,Transfero Swiss is a financial service company which focuses on the adoption of digital assets.,transferoswiss.ch/,
Cota Capital,Cota Capital is an SEC-registered multi-stage investment firm focused on private and public enterprise technology companies.,cotacapital.com/,
The House Fund,The House Fund is a pre-seed and early stage venture capital fund focused on the boldest Berkeley startups.,thehouse.fund,https://twitter.com/thehousevc
Accel,Accel is an early and growth-stage venture capital firm that helps a global community of entrepreneurs.,www.accel.com,https://twitter.com/accel
Basis Set Ventures,Basis Set Ventures is an early-stage investment firm focused on artificial intelligence and its practical application.,www.basisset.com,https://twitter.com/basisset?lang=en
Chainfund Capital,Chainfund Capital is a Global FinTech Fund that invests in the next generation of financial technology.,www.chainfund.capital,
Dekrypt Capital,"Dekrypt Capital is a Investment firm focused on core blockchain infrastructure, privacy-preserving protocols, and early-stage ventures.",dekrypt.capital,
JLAB | JD capital,"Blockchain and venture arm of JD Capital, a $9B AUM public PE fund in China.",www.jdcapital.com/about1/,
Lux Capital,"Lux Capital is an investment firm investing in counter-conventional, early-stage science, and tech ventures.",www.luxcapital.com,https://twitter.com/Lux_Capital?s=20&t=voyYlx3an0X21G5KEZ4zBA
MState,MState invests in distributed system (blockchain) companies that sell to enterprise.,www.mstate.io/,
Norís Capital,Uniting with the most promising startup teams to build and deploy visionary innovations.,www.noris.capital,
One Block Capital,One Block Capital is a leading blockchain investment & advisory group based in Hong Kong.,oneblockcapital.com,
COINS GROUP,Global Capital & Marketing Resources for Blockchain Ventures,coinsgroup.io/,
DeepWell Ventures,Early Stage Venture Capital Investors,www.deepwell.ventures,
Maven 11 Capital,Venture Capital Fund in Blockchain & Distributed Ledger Technology (DLT),www.maven11.com,https://twitter.com/Maven11Capital
Bitfinex,Bitfinex is a digital asset trading platform offering state-of-the-art services for digital currency traders and global liquidity providers.,www.bitfinex.com/,"https://pay.bitfinex.com, https://trading.bitfinex.com/trading?demo=true&type=exchange, https://honey.bitfinex.com, https://twitter.com/bitfinex, http://docs.bitfinex.com/, https://trading.bitfinex.com/trading?demo=true&type=margin, https://leo.bitfinex.com, https://support.bitfinex.com/hc/en-us/articles/900001525006, https://pulse.bitfinex.com, https://p2p.bitfinex.com, https://staking.bitfinex.com, https://docs.bitfinex.com, https://blog.bitfinex.com/, https://cs.bitfinex.com?locale=en, https://trading.bitfinex.com/trading/BTCF0:USTF0?demo=true, https://trading.bitfinex.com/funding?demo=true, https://pulse.bitfinex.com/profile/Bitfinex, https://reporting.bitfinex.com, https://terminal.bitfinex.com, https://trading.bitfinex.com/t?demo=true, https://trading.bitfinex.com/trading/BMN:USD?demo=true, https://support.bitfinex.com/hc/en-us, https://trading.bitfinex.com/otc, https://blog.bitfinex.com/newsletter/, https://leaderboard.bitfinex.com"
Caballeros Capital,Caballeros Capital is a private investment firm focused on investing in the blockchain innovation space.,caballeroscapital.com/,
Synaitken,-,www.synaitken.com/,
Dunamu,the operator of South Korea's largest cryptocurrency exchange Upbit,,
HOF Capital,HOF Capital is a global multistage VC firm with $1 billion in AUM that partners with ambitious entrepreneurs from idea to IPO.,www.hofvc.com,
OKEx,OKEx is a digital asset exchange that provides advanced financial services to traders globally by using blockchain technology.,www.okex.com,https://oktcsafe.okx.com/
Translink Capital,Translink Capital helps entrepreneurs develop customer connections and partnerships in Asia.,www.translinkcapital.com,https://twitter.com/translink_cap
Kakao Ventures,The most active & founder-friendly seed VC of Korea (managing external LP based funds as independent subsidiary of Kakao Corp.),www.medium.com/kakaoventures,https://twitter.com/kakaoventures
Morningstar Ventures,Morningstar Ventures is an investment firm.,morningstar.ventures/,"https://twitter.com/JulianIanni, https://twitter.com/MuscioMarco, https://twitter.com/petr_martynov, https://twitter.com/bhrinchev37, https://twitter.com/KevAbecassis, https://twitter.com/bmpmdo, https://mobile.twitter.com/helder_vilela, https://twitter.com/daniloscarlucci, https://twitter.com/vielseb, https://twitter.com/JasmineTL17, https://twitter.com/Szaby_19, https://twitter.com/NOtherDev, https://twitter.com/pathuzarski, https://twitter.com/Morningstar_vc, https://twitter.com/CazeauClemence, https://twitter.com/lfsloliveira, https://twitter.com/NjaniRuetsch94, https://multiversx.com/, https://twitter.com/cryptopizzagirl, https://twitter.com/edspeakman"
Impact51,"We are a business angel partnership of like-minded, friends and senior executives who invest with passion, personal cash and expertise.",www.impact51.com/,
Das Capital,Das Capital is an investment fund operated by Japanese serial entrepreneur/investor Shinji Kimura.,dascapital.io,
East Ventures,East Ventures is an early stage venture fund focusing on SEA and Japan with 4 unicorns in its portfolio.,east.vc,https://twitter.com/eastventures/
Globe Advisors,Globe Advisors is an independent investor that finds companies that are expected to grow significantly in the future.,globe-advisors.com,
Maffin Inc.,Maffin Inc. is an investment firm.,,
OKWave,OKWAVE creates Q&A community site that aims to enhance the response to inquiries from customers for companies.,www.okwave.co.jp,https://twitter.com/OKWAVE
Saison Ventures,Saison Ventures is a venture capital firm that invests in seed and early-stage investments and information technology sectors.,,
SBI Crypto Investment,SBI Crypto Investment is a digital asset venture investment company .,,
Amber Group,"Amber Group is a one-stop crypto finance service provider that provides liquidity provision, trading and asset management services 24/7.",www.ambergroup.io,
Capital6 Eagle,"Capital6 Eagle is a venture capital firm, specilize in investing with technology startups.",,
Copernicus Asset Management,"Copernicus Asset Management SA, a Lugano-based financial services group",www.copernicus-am.com/,
Alumni Ventures,Alumni Ventures Group provides diversified venture portfolios to individual investors who previously haven't had access to VC.,www.avgfunds.com,https://twitter.com/alumniventures
Breyer Capital,Breyer Capital is a global venture capital and private equity investor that focuses on catalyzing high-impact entrepreneurs.,breyercapital.com,
General Catalyst,General Catalyst is a venture capital firm that provides early-stage and growth equity investments.,www.generalcatalyst.com,https://twitter.com/generalcatalyst
Fenway Summer Ventures,Venture firm backing companies tackling challenges at the intersection of finance & technology.,www.fenwaysummer.com,
Oak Investment Partners,Oak Investment Partners is a multi-stage venture capital and private equity firm.,oakinv.com,
BoomStartup,BoomStartup is a Utah-based accelerator that provides seed funding and mentorship to tech entrepreneurs.,boomstartup.com,
GS Growth,GS Growth provides preferred equity and mezzanine capital to high-growth and technology driven companies.,www.goldmansachs.com/gsgrowth,
Baidu,Baidu is a search engine that enables individuals to obtain information and finds what they need.,www.baidu.com,
China Everbright Investment Management,China Everbright Investment Management Ltd.,www.ebinvest.com/,
CICC,"CICC, a joint venture investment bank, provides investment banking, capital market, individual sales, and trading services to its clients.",www.cicc.com/index_en.xhtml,
CreditEase,CreditEase is a business consulting firm that offers wealth management services.,creditease.cn,
CE Innovation Capital,CE Innovation Capital is an investment firm that provides digital innovation and wealth management services.,en.ceinnovationcap.com/,
Tusk Venture Partners,Tusk Venture Partners invests in early-stage technology startups operating in highly-regulated markets.,tusk.vc,"https://twitter.com/tuskventures, https://services.sungarddx.com/LogOn/3623459"
Digital Finance Group,"Diversified investment group that manages $1B in digital & blockchain assets across multiple funds, an incubator and global projects",www.dfg.group/,https://twitter.com/DFG__Official
SharesPost Investment Management,SharesPost Investment Management manages the public Sharespost 100 Fund (PRIVX) and other funds.,sharespost.com/sharespost-100-fund/,
Atlas Merchant Capital,"Atlas Merchant Capital LLC (“Atlas”) was founded in 2013 by Bob Diamond, who has more than 30 years of experience in global financial",www.atlasmerchantcapital.com,
Fidelity Management and Research Company,Fidelity Management and Research Company is a privately-owned investment manager.,www.fidelity.com,
Intersection Fintech Ventures,"We invest in the leading fintech companies in the world while our search firm, Intersection Growth Partners, builds the leadership teams.",,
Marshall Wace,Marshall Wace is an investment firm with over $22 billion in assets under management.,www.mwam.com/,
Valor Capital Group,Valor is an investment firm that focuses on cross-border financial and investment opportunities.,www.valorcapitalgroup.com,https://twitter.com/valorcapgroup
Willett Advisors LLC,Investment arm for the personal and philanthropic assets of Michael R. Bloomberg,www.willettadvisors.com,
10T Holdings,10T Holdings is a growth equity fund that invests in private companies operating in the digital asset ecosystem.,10tfund.com,https://twitter.com/10TFund
Jane Street Capital,Jane Street Capital is a company that specializes in equity and bonds.,www.janestreet.com,
K5 Global,K5 Global is a VC firm and incubator that provides capital and guidance to startups across all sectors,www.k5global.com/,
Marcy Venture Partners,"Marcy Venture Partners is a venture capital firm investing on consumer, culture, and mass-market brands.",www.marcyvp.com/,
Newflow Partners,Strategic advisory & direct investment for closely-held companies.,www.newflowpartners.com,
United Talent Agency,"United Talent Agency is a talent and literary agency representing actors, writers, directors, producers, recording artists and more.",www.unitedtalent.com,
VanEck,We offer investors intelligently designed investment strategies that take advantage of targeted market opportunities.,www.vaneck.com/,https://twitter.com/intent/follow?screen_name=vaneck_us&tw_p=followbutton
WndrCo,"WndrCo is a holding company that invests in, acquires, develops, and operates consumer technology businesses for the long term.",www.wndrco.com/,
Raptor Group,Raptor Group Holdings is an alternative investment firm that provides investment management and advisory services.,www.raptorgroup.com/,https://twitter.com/raptorgroup
Solon Mack Capital,Family office for the Mack Family,www.solonmack.com,
Alua Capital,Alua Capital is a venture capital firm.,,
Declaration Partners,Declaration Partners is an investment management organization that focuses primarily on making direct investments.,declarationpartners.com,
Mithril Capital Management,"Mithril is a global technology investment firm investing in the technology, macroeconomics and finance sectors.",www.mithril.com/,https://services.sungarddx.com/LogIn//2316932
O.G. Tech,-,www.og-tech.vc,
PayPal Ventures,"PayPal Ventures is a corporate VC, investing in financial services, commerce enablement, and data and infrastructure companies.",www.paypal.com/us/webapps/mpp/paypal-ventures,https://demo.kloudklix.com/jobs?fixedBoard=paypal-ventures
RIT Capital Partners,RIT Capital Partners plc is an investment trust listed on the London Stock Exchange with net assets of some £1.9 billion.,www.ritcap.com,
Senator Investment Group,Senator Investment Group is a hedge-fund firm providing services to pooled investment vehicles.,clients.senatorlp.com/guest.aspx,
Oak HC/FT,Oak HC/FT is a venture and growth equity investment firm that focuses on healthcare information services and financial service technology.,www.oakhcft.com/,https://twitter.com/oakhcft
Founder Collective,Founder Collective is a seed-stage venture capital fund that helps entrepreneurs build their businesses.,foundercollective.com,"https://twitter.com/bcwilless, https://twitter.com/micahjay1, https://twitter.com/dafrankel, https://twitter.com/epaley, https://twitter.com/fcollective, https://twitter.com/Amanda_Herson"
True Ventures,True Ventures is a venture capital firm that invests in early-stage technology startups.,www.trueventures.com,https://twitter.com/trueventures
Cognisa Capital,Cognisa Capital is a diversified investment Fund that is focused exclusively on blockchain opportunities.,cognisacapital.com,
Curious Endeavors,Curios Endeavors is a personal angel investment entity.,,
Future\Perfect Ventures,"Future\Perfect Ventures is an early stage VC firm focused on decentralized technologies including blockchain, crypto, IoT, and AI.",futureperfectventures.com,"https://twitter.com/futurepvc, https://www.vox.com/2017/11/29/16716014/bitcoin-price-10k-ethereum-blockchain-cryptocurrency-value-creation-global"
Lakestar,Lakestar is a venture capital firm investing in technology companies led by exceptional entrepreneurs.,www.lakestar.com,
Social Capital,Social Capital is a venture capital investment firm that partners with entrepreneurs at all stages.,www.socialcapital.com,
Greenfield One,Greenfield One is an early-stage crypto and blockchain venture capital firm.,www.greenfield.one/,https://twitter.com/greenfield_cap
DTCP,DTCP is an investment management firm focused on growth equity and digital infrastructure.,www.dtcp.capital/,
Galois Capital,"Galois Capital is a crypto trading fund, its Alpha Fund focuses on strategies in algorithmic market making and OTC trading.",galois.capital/,https://twitter.com/Galois_Capital
Race Capital,Race Capital is an early stage venture capital firm based in Silicon Valley.,race.capital/,https://twitter.com/RaceCapital
40 North Ventures,40 North Ventures is a venture capital fund that focuses on technology investments.,www.40northventures.com/,
Altimeter Capital,Altimeter is a technology-focused investment firm managing a public equity fund and growth-stage private equity funds.,www.altimeter.com,
Bond,Bond is a venture capital firm that supports visionary founders throughout their life cycle of innovation and growth.,www.bondcap.com,
Hudson River Trading,Hudson River Trading opertes as a multi-asset class quantitative trading firm.,www.hudsonrivertrading.com,https://twitter.com/wehrtyou
Insight Partners,Insight Partners is a private equity firm that invests in growth-stage technology and software companies.,www.insightpartners.com,https://twitter.com/insightpartners
New Enterprise Associates,New Enterprise Associates is a global venture capital firm investing in technology and healthcare.,www.nea.com,https://twitter.com/NEA
Ribbit Capital,Ribbit Capital is a venture capital firm that invests in early-stage companies.,ribbitcap.com,
SoftBank Vision Fund,SoftBank Vision Fund specializes in growth capital and social impact investments.,visionfund.com/,
Third Point Ventures,"Third Point Ventures is an investment firm that focuses on enterprise, fintech, mobile, and healthcare innovation.",www.thirdpointventures.com/,
Willoughby Capital,Willoughby Capital is an investment firm focused on partnering with growth companies across private and public markets.,www.willcapllc.com,
Asia Alpha,Asia Alpha is a family office investing in top-performing alternative assets including Venture Capital and Private Equity.,asiaalpha.com/,
BlackRock,"BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.",www.blackrock.com,
ICONIQ Growth,ICONIQ Growth is a tech-focused venture capital investment firm that partners with entrepreneurs.,iconiqgrowth.com/,https://twitter.com/ICONIQGrowth
Institutional Venture Partners,Institutional Venture Partners is a later-stage venture capital firm that focuses on technology and media companies.,www.ivp.com,https://twitter.com/ivp
Ontario Teachers' Pension Plan,Ontario Teachers' Pension Plan invests and administers the pensions of active and retired teachers.,www.otpp.com,
Sea Capital,The SEA Capital is a private equity firm.,www.theseacapital.com/,
Telstra Ventures,Telstra Ventures invests in technology companies and offers synergy revenues to its portfolio companies.,telstraventures.com/,https://twitter.com/telstraventures
Temasek Holdings,Temasek is an investment company with a focus on delivering sustainable returns over the long term.,www.temasek.com.sg,https://twitter.com/Temasek
Tiger Global Management,Tiger Global Management is an investment firm that deploys capital globally in both public and private markets.,tigerglobal.com,
5 BLOCKS CAPITAL,"5 Blocks Captial is a private investment company. We provide liquidity, marketing and funding for projects with high potential.",,
Matrix Partners,Matrix Partners is a venture capital firm that focuses on seed and early-stage investments.,www.matrixpartners.com,
Infinity Blockchain Holdings,Infinity Blockchain Holdings is an Investment Firm,,
Krungsri Finnovate,Krungsri Finnovate is a venture capital firm aiming to be a strategic investor supporting startups to grow toward their set goals.,www.krungsrifinnovate.com/en/,
Master Ad Public Company,Master Ad Public Company (MACO) provides outdoor advertising solutions.,www.masterad.com/,
MindWorks Capital,"MindWorks is a Pan-Asia venture capital firm established in 2013 with offices in Hong Kong, Beijing, and Jakarta.",www.mindworks.vc/,
Plan B Media,Plan B Media is a company focused on the outdoor media industry in Asia.,www.planbmedia.co.th,https://twitter.com/planbmedia_pcl
ArkStream Capital,ArkStream Capital is a crypto fund dedicated to growing Web3.0 unicorns.,arkstreamcapital.medium.com/,
Tembusu Partners,Tembusu Partners is a Singapore-based private equity firm focused on investments in growth stage companies.,www.tembusupartners.com,
Dialectic,Dialectic is a Swiss capital enterprise focused on deployment of human and financial capital into alternative assets.,dialectic.ch/,
Blockchain Companies LLC,Investment in web3 projects.,www.blockchaincompanies.com,
Centrality,Centrality is developing a peer-to-peer blockchain marketplace,www.centrality.ai/,
Fourth Revolution Capital,4RC is a venture capital firm investing and building exclusively in blockchain technology and digital assets.,www.fourthrevolution.capital/,"https://twitter.com/4rcapital, https://twitter.com/theBlockcrunch/status/1546905209623814144"
Evernew Capital,"Evernew Capital is a venture fund focused on supporting decentralized finance (DeFi), NFT, and infrastructure projects.",www.evernewcap.com/,
Moonrock Capital,Moonrock Capital is a Blockchain Advisory and Investment Partnership based in London and Hamburg.,www.moonrockcapital.io/,"https://twitter.com/MoonrockCapital, https://twitter.com/sjdedic, https://twitter.com/dcd110, https://twitter.com/matsmdi, https://twitter.com/SchleerLeon, https://twitter.com/gregohr12"
Woodstock Fund,Woodstock Fund is a multi-asset investment fund.,woodstockfund.com/,"https://twitter.com/covalent_hq, https://twitter.com/intent/user?screen_name=multiversx, https://twitter.com/PropineGlobal, https://twitter.com/ArcanaNetwork , https://twitter.com/CommunityGaming , https://twitter.com/ikonz_club , https://twitter.com/MoralisWeb3 , https://twitter.com/itheum , https://twitter.com/MoralisWeb3, https://twitter.com/ngrave_official, https://twitter.com/biconomy, https://twitter.com/paraswap , https://twitter.com/Formidium, https://twitter.com/routerprotocol , https://twitter.com/vestaequityvpm, https://twitter.com/Nabu_xyz, https://twitter.com/holoride , https://twitter.com/mintbase , https://twitter.com/vanarchain, https://twitter.com/Metasky_HQ , https://twitter.com/ArenaGL , https://twitter.com/KasuFinance, https://twitter.com/biconomy , https://twitter.com/unmarshal,  https://twitter.com/Nayms_io, https://twitter.com/officialmudrex , https://twitter.com/Casper_Network , https://twitter.com/Sentinel_co, https://twitter.com/pushprotocol, https://twitter.com/PersistenceOne , https://twitter.com/GetBlockWallet , https://twitter.com/BwareLabs, https://twitter.com/YGGIndia , https://twitter.com/Woodstockfund, https://twitter.com/EthernityChain , https://twitter.com/FrontierDotXYZ , https://twitter.com/moonwelldefi , https://twitter.com/BandProtocol, https://twitter.com/SNACKCLUBgg , https://twitter.com/gamestarplus , https://twitter.com/JediSwap , https://twitter.com/MarlinProtocol, https://twitter.com/NEARProtocol, https://twitter.com/ichifoundation , https://twitter.com/dexalotcom , https://twitter.com/Levana_protocol , https://twitter.com/SNACKCLUBgg, https://twitter.com/dexguru, https://twitter.com/BenqiFinance , https://twitter.com/LmnlHQ, https://twitter.com/oddz_finance "
Metapurse,Metapurse is a crypto-exclusive fund that specializes in identifying early-stage projects.,www.metapurse.fund/,https://twitter.com/metapurse
01A,01A is a venture firm founded by a team of operators to help entrepreneurs build great companies.,01a.com/,"https://twitter.com/shrutivkumar, https://twitter.com/LiatBycel, https://twitter.com/davidbfischer, https://twitter.com/johannaKboyce, https://twitter.com/adambain, https://twitter.com/rebeccastern, https://twitter.com/laceybehrens, https://twitter.com/Kristen____c, https://twitter.com/dickc, https://twitter.com/DaveRiv, https://twitter.com/kovacs"
Venrock,Venrock is a venture capital firm investing in technology and healthcare companies.,www.venrock.com,
Alchemist Accelerator,The Alchemist Accelerator is a venture-backed initiative focused on accelerating startups whose revenue comes from enterprises.,www.alchemistaccelerator.com,"https://twitter.com/AlchemistX_org, https://twitter.com/AlchemistAcc"
cFund,cFund is an early-stage sector agnostic venture firm in the Blockchain industry.,cfund.vc/,https://twitter.com/wavedigital_
Block Crafters Capital,Block Crafters Capital is a subsidiary of Block Crafters which provides professional asset management and crypto fund service.,www.blockcrafters.capital/,
GBIC,GBIC is a crypto/blockchain investor and accelerator.,gbic.io/,https://twitter.com/gbicofficial?lang=en
Coin98 Finance,Coin98 Finance is a Crypto-focused software company.,coin98.app/,
GBV Capital,"GBV Capital focuses exclusively on investment related to blockchain technology, digital currency, and cryptocurrency",gbv.capital/,https://twitter.com/gbvofficial
Maple Leaf Capital,Maple Leaf Capital is dedicated to Web3 Investing and Buidling.,,
Ternary Capital,Ternary Capital believe in the convergence of Traditional Finance with Decentralized Finance (DeFi).,www.ternary.capital/,
The LAO,The LAO is a global group of enthusiasts and experts supporting the work of ethereum builders.,www.thelao.io/,
DG Lab,"DG Lab is a unique, non-conventional venture capital fund that combines both investment and world-class R&D capabilities.",www.dglab.com/en/,https://twitter.com/dglab_official
DG Ventures,"DG Ventures is the investment subsidiary of Digital Garage Group, providing partnerships for entrepreneurs building innovative.",dgventures.com/,
KSK Angel Fund,KSK Angel Fund is a venture capital firm that offers data about the technology for services sectors.,www.kskangel.com/,https://twitter.com/kskgroup2017
Nomura,"Nomura is an investment banking and securities firm that serve the needs of individuals, institutions, corporate and governments.",www.nomura.com/,
Pioneer Fund,Pioneer Fund is a venture capital firm investing in the top Y Combinator startups.,www.pioneerfund.vc,
VentureSouq,VentureSouq (VSQ) is an investment platform for global early-stage technology businesses,www.venturesouq.com,https://twitter.com/venturesouq?lang=en
Tribe Accelerator,The First Singapore Government-Supported Blockchain Accelerator,tribex.co/accelerator/,
Haystack,Haystack is a venture capital firm that backs up outlier founders at the earliest stages.,www.haystack.vc,
Winklevoss Capital,We believe in determined entrepreneurs and reinforce their pursuit of a frictionless world.,winklevosscapital.com,"https://twitter.com/intent/like?tweet_id=1745133106103804124&related=consensusnlp, https://twitter.com/winklevosscap, https://twitter.com/consensusnlp, https://twitter.com/winklevosscap/status/1747670458365809136, https://twitter.com/intent/retweet?tweet_id=1747670458365809136&related=winklevosscap, https://twitter.com/consensusnlp/status/1745133106103804124, https://twitter.com/ConsensusNLP/status/1745131283653783617, https://twitter.com/intent/retweet?tweet_id=1745133106103804124&related=consensusnlp, https://twitter.com/intent/retweet?tweet_id=1745131283653783617&related=consensusnlp, https://twitter.com/intent/like?tweet_id=1745131283653783617&related=consensusnlp, https://twitter.com/intent/tweet?in_reply_to=1745131283653783617&related=consensusnlp, https://twitter.com/intent/tweet?in_reply_to=1745133106103804124&related=consensusnlp, https://twitter.com/intent/tweet?in_reply_to=1747670458365809136&related=winklevosscap, https://twitter.com/intent/like?tweet_id=1747670458365809136&related=winklevosscap, https://twitter.com/consensusnlp/status/1745131283653783617, https://twitter.com/intent/user?screen_name=winklevosscap"
TWIN CAPITAL ASSET MANAGEMENT,"Fintech, Payment, Blockchain, Real Estate, BioTech, Agriculture, Education",,
The Ark Fund,The Ark Fund is a venture capital firm that specializes in providing pre-seed and seed stage funding to technology companies.,www.arkfund.co/,https://twitter.com/arkfundvc
Lombardstreet Ventures,Lombardstreet Ventures operates as a pre-seed/seed venture capital firm.,lombardstreet.io,
Kilowatt Capital LLC,Kilowatt Capital LLC A privately held company in San Francisco,www.kilowattcapital.com,
Launch Code Capital,Seed and early stage investor in blockchain technology and cryptocurrency infrastructure.,launchcodecapital.com,https://twitter.com/launchcodecap
Dorm Room Fund,Dorm Room Fund is the strongest community of entrepreneurial students in the nation,dormroomfund.com,https://twitter.com/DormRoomFund
Marc Bell Ventures,"Marc Bell Capital is an investment firm with a focus on venture capital, private equity, finance, hospitality, and theatrical endeavors.",marcbell.com/venture-capital/,
Fantail Ventures,"Early stage technology investments, based in New York City.",www.fantailventures.com,
Rising Tide,Rising Tide is a Silicon Valley-based venture capital firm funding entrepreneurs that help carry the founders’ visions.,rtf.vc/,"https://twitter.com/RisingTideVC/status/1270782776036360194?ref_src=twsrc%5Etfw, https://twitter.com/RisingTideVC"
Frontier Ventures,Frontier Ventures invests in early stage internet companies with network effects and connects them with global markets.,frontier.ventures/,https://twitter.com/frontiervc
Techstars,Techstars is a global platform that provides investment and innovation.,www.techstars.com,https://twitter.com/techstars
Techstars Berlin Accelerator,Techstars Berlin Accelerator attracts founders from all over Europe who are coming to build their companies.,www.techstars.com/programs/berlin-program/,https://twitter.com/techstars
ORCAS,Investment firm with active contributions in the Blockchain sector.,www.orcas.vc,
JD Capital,JD Capital is an investment firm with deep roots in equity investment and management.,jdcapital.com,
Mapleblock Capital,Investment firm that exclusively consults and invests in cryptoassets and blockchain companies,mapleblock.capital/,"https://twitter.com/BitbeastC, https://twitter.com/VijayPravinM, https://twitter.com/Maple_block, https://twitter.com/Maple_block?ref_src=twsrc%5Etfw"
Ceyuan Ventures,Ceyuan Ventures is a Beijing-based early stage venture capital firm focused on IT and emerging growth companies.,www.ceyuan.com,
FREES FUND,FREES FUND is a venture capital firm that provides both early and growth stage investment to technology startups in both China and the U.S.,www.freesvc.com/,
Wanxiang Blockchain,"Wanxiang Blockchain provides technology, capital and resources to industrial development and business adoption in blockchain industry.",www.wxblockchain.com/,
Access Ventures,"Access Ventures invest across asset classes, with focus on SaaS, operating orgs, and real estate.",accessventures.org/,https://twitter.com/AcsVentures
Block Chain Space,Block Chain Space is a focused startup accelerator for talented visionaries creating disruptive solutions to real-world problems.,www.blockchain.space/,
Propel Venture Partners,Propel Venture Partners is a venture capital firm that focuses on opportunities at the intersection of technology and finance.,propel.vc,"http://www.twitter.com/propelvc, http://twitter.com/@jayreinemann, https://twitter.com/David_Mort"
Social Leverage,"Social Leverage is a Venture Capital firm which specializes in early-stage investments in the Software, Consumer, and Fintech industries.",www.socialleverage.com,
Sound Ventures,Sound Ventures is a venture capital firm that seeks to invest in the technology sector.,www.soundventures.com,
Plug and Play Tech Center,Plug and Play is an innovation platform bringing together startups and large corporations.,www.plugandplaytechcenter.com/,http://twitter.com/plugandplaytc
Dalma Capital,"Hedge fund manager, accelerator, pioneer in the institutionalization of crypto asset management, custody and investment banking",www.dalmacapital.com,https://twitter.com/DalmaCapital
KBW Ventures,"KBW Ventures is an asset management firm focusing exclusively on venture capital, value creation, and growth equity.",kbw-ventures.com,https://twitter.com/kbw_Ventures
PreAngel,PreAngel is a Beijing-based investment fund focused on early-stage internet startups.,www.pre-angel.com,
Tuling Capital,"Tuling Capital is a Venture Capital focusing on early-stage investment in the areas of AI, Robotics, VR/AR, Blockchain and Fintech.",,
CryptoDiscover,CryptoDiscover is an Asia-focused blockchain investment and advisory firm.,cryptodiscover.io,
GVA Capital,"GVA Capital is an early-stage, Silicon Valley based VC firm with $120m under management",gva.capital,
TechSquare Labs,"TechSquare Labs is an incubator, seed fund and 15k sf of coworking and corporate innovation space.",www.techsquare.co,
Iterative Capital Management,Iterative Capital Management is an alternative investment management firm specializing in cryptocurrencies and blockchain technology.,iterativeinstinct.com,
State of Utah,State of Utah provides links to government information sites and departments.,www.utah.gov/,
BnkToTheFuture,"BnkToTheFuture is an online platform that facilitates investments in FinTech, blockchain, and bitcoin companies.",www.bnktothefuture.com/,https://twitter.com/banktothefuture
Tank Stream Ventures,Tank Stream Ventures is a web-technology focused fund investing in early-stage startups.,www.tankstream.vc,
Giant Ventures,"Giant Ventures is a multi-stage, thesis-driven firm backing purpose-driven founders.",www.giant.vc/,"https://www.dropbox.com/sh/nu4onjm0nyygpn4/AAD50jYwOMvTjtKkxRPbPOcRa?dl=0, https://twitter.com/Giant_Ventures"
NFX,NFX operates as a pre-seed and seed stage VC that is transforming how true innovators are funded.,www.nfx.com,"https://signal.nfx.com/, https://nfx.com/masterclass/?utm_source=nfx-home, https://jobs.nfx.com, https://www.nfx.com/masterclass, https://twitter.com/NFX, https://podcast.nfx.com/, https://signal.nfx.com/?utm_source=nfx-home"
NECO Eco Fund,NECO Eco Fund is an eco-investment fund .,,
ConsenSys Ventures,"ConsenSys Ventures is a venture capital arm ConsenSys, a blockchain venture production studio.",consensys.vc,
PANONY,Your Blockchain Insider & Advisor,www.panony.com,"https://twitter.com/PANONYGroup, https://twitter.com/PANewsLab"
Soul Capital,Soul Capital is an impact investment organisation that invests in social enterprises.,www.soulcapital.org/,
Charge Ventures,Charge Ventures is a venture capital firm based in New York that invests in early stage companies.,www.charge.vc/,
BoxGroup,BoxGroup is an early-stage investment fund that invests in technology companies.,www.boxgroup.com,
Northzone,Northzone is an early-stage venture capital fund built on experience spanning multiple economic and disruptive technology cycles.,www.northzone.com,https://twitter.com/northzoneVC
StakeZero Ventures,StakeZero Ventures is a Early stage blockchain VC.,,
Apex Capital Partners,Apex Capital Partners is a company that offers real-estate issues services.,www.apexcapital.com.au/,
EOS VC Fund,Galaxy Digital is a NYC-based multi-strategy investment firm focused on digital assets and blockchain technology.,vc.eos.io/partners/galaxy/,"https://coindcx.com/, https://twitter.com/b1"
Prosus Ventures,Prosus Ventures is a venture investing arm of Prosus that invests in technology startups.,www.prosus.com/ventures, https://getbux.com/
Reinventure,"Reinventure makes investments from seed through to Series A, alongside Westpac Banking Corporation as a primary LP.",reinventure.com.au,"http://www.twitter.com/reinventurefund, https://twitter.com/reinventurefund"
AirTree Ventures,AirTree Ventures is a venture capital fund that supports Australian and Kiwi technology entrepreneurs.,www.airtree.vc,https://twitter.com/airtreevc
King River Capital,King River Capital invests in high-growth software and AI-driven technology businesses that are solving critical problems.,www.kingriver.co/,https://twitter.com/KingRiverVC
